Simulation;Final_Balance;Return_%;Max_Drawdown_%;Win_Rate_%;Winning_Trades;Max_Win_Streak;Max_Loss_Streak;Max_TTR
308;11675,5008;16,7550;5,8520;58,0000;58;6;6;32
309;15151,0631;51,5106;4,9010;71,0000;71;11;5;10
310;13405,5167;34,0552;2,9701;65,0000;65;8;3;14
311;11453,4799;14,5348;7,9906;57,0000;57;7;6;50
312;12948,5883;29,4859;5,8890;63,0000;63;13;6;26
313;13248,1142;32,4811;4,8733;64,0000;64;6;4;14
314;12372,8234;23,7282;5,8613;61,0000;61;8;4;18
315;14243,4991;42,4350;3,0975;68,0000;68;12;3;16
316;13135,2871;31,3529;5,0302;64,0000;64;7;3;28
317;13458,5893;34,5859;3,0142;65,0000;65;7;2;10
318;14063,7759;40,6378;3,9854;67,0000;67;11;3;19
319;13516,3638;35,1636;3,9404;65,0000;65;16;4;15
320;18151,4824;81,5148;1,9900;80,0000;80;11;2;4
321;12009,8508;20,0985;4,0421;59,0000;59;7;3;17
322;13085,5341;30,8553;7,0938;64,0000;64;9;3;36
